Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Price,ranking,Value,vendas_normalizada,Grupo,link
8.4,6.6,7.7,9.3,8.7,7.0,8.7,HYUNDAI,IX35,2019,7,99990.0,44.0,4.513999999999999,0.050368221379156426,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/126005_1.png
8.1,6.9,7.9,9.2,8.9,8.4,8.6,FIAT,IDEA,2016,7,39602.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/43235_1.png
9.4,7.9,8.4,8.2,8.5,8.1,8.6,DAEWOO,ESPERO,1997,3,7897.0,,0.0,0.0,3,
9.7,6.9,8.6,9.3,9.4,9.3,9.4,CHEVROLET,OPALA,1992,7,10305.0,,0.0,0.0,3,
9.1,7.4,8.4,9.3,9.0,7.6,8.2,JEEP,RENEGADE,2018,7,69990.0,15.0,21.43,0.23912073197946884,4,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/119630_1.png
8.0,7.9,9.0,9.0,8.9,8.6,9.0,VOLKSWAGEN,PARATI,2013,7,27037.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/4716_1.png
8.4,7.8,8.4,9.1,8.7,8.5,8.7,HYUNDAI,HB20S,2019,7,48190.0,22.0,15.446,0.1723499218924347,1,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/126427_1.png
9.2,7.9,8.9,9.7,9.5,7.7,9.7,BMW,SÉRIE 3,2018,7,168950.0,,0.0,0.0,1,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/122461_1.png
7.8,7.9,7.8,8.5,9.0,7.1,9.0,NISSAN,FRONTIER,2018,7,150990.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/121237_1.png
10.0,8.7,8.3,10.0,10.0,9.3,10.0,MERCEDES-BENZ,CLASSE A,2018,7,149900.0,,0.0,0.0,1,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/109868_1.png
9.0,8.0,8.3,10.0,9.3,9.0,9.0,KIA,SPORTAGE,2019,7,114990.0,48.0,2.997,0.033441196161571075,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/130806_1.png
10.0,8.0,9.5,8.5,10.0,8.5,9.5,CHEVROLET,CAPTIVA,2017,7,88900.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/97405_1.png
8.8,7.5,9.0,8.2,8.8,6.8,8.8,AUDI,A4,2018,5,165990.0,,0.0,0.0,1,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/119962_1.png
9.9,8.8,9.9,9.9,9.8,9.6,9.6,CHRYSLER,PT CRUISER,2010,7,35798.0,,0.0,0.0,2,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/116_1.png
9.3,8.2,9.5,10.0,9.2,7.2,9.2,VOLVO,V40,2019,3,119950.0,,0.0,0.0,1,
7.4,9.0,7.4,8.6,7.6,7.0,8.0,LIFAN,530,2018,3,43990.0,,0.0,0.0,1,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/124199_1.png
9.3,7.7,8.0,9.3,9.0,6.7,9.4,CITROËN,C4 VTR,2009,3,24611.0,,0.0,0.0,4,
9.3,8.6,8.6,9.6,9.7,8.4,8.7,KIA,PICANTO,2018,7,58990.0,,0.0,0.0,1,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/125138_1.png
9.4,9.1,9.3,9.4,9.3,8.1,9.3,PEUGEOT,207 SEDAN,2015,6,27545.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/22566_1.png
9.7,7.9,8.7,9.6,10.0,7.1,9.3,CHRYSLER,STRATUS,2000,3,14373.0,,0.0,0.0,2,
9.0,8.4,8.0,8.8,9.3,8.4,9.2,MITSUBISHI,L200 TRITON,2019,7,120990.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/127015_1.png
8.9,8.1,8.6,8.7,9.1,8.5,9.1,RENAULT,SYMBOL,2013,7,24043.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/3120_1.png
8.3,9.7,9.0,8.5,8.5,7.7,8.2,RENAULT,TWINGO,2002,3,11446.0,,0.0,0.0,2,
9.5,7.5,9.5,8.5,9.8,9.5,9.5,CHEVROLET,CARAVAN,1992,5,7951.0,,0.0,0.0,3,
